Protein_ID,Source,Num_Pockets,Top_Score,Top_Probability,Center_X,Center_Y,Center_Z,Surf_Atoms
clean_3GC8,pdb,6,15.58,0.757,26.511,-8.535,35.484,66.0
clean_6G2L,pdb,2,32.42,0.943,-2.711,23.833,25.861,60.0
clean_7UMP,pdb,1,24.33,0.897,40.05,-19.264,-13.688,29.0
clean_1KGD,pdb,3,2.0,0.043,14.996,23.61,14.6,12.0
clean_6CFN,pdb,7,4.34,0.181,33.17,-21.203,-35.336,35.0
clean_6FYH,pdb,0,,,,,,
clean_2WUH,pdb,1,4.59,0.198,13.433,-14.992,-52.644,20.0
clean_4A4V,pdb,9,34.1,0.949,3.591,-8.602,-16.25,94.0
clean_6HHI,pdb,8,18.3,0.82,-3.667,3.858,-11.757,81.0
clean_6RPS,pdb,16,44.1,0.971,36.211,56.496,189.715,104.0
clean_9CXA,pdb,0,,,,,,
clean_4BSJ,pdb,1,0.91,0.004,26.324,54.355,-2.909,10.0
clean_7KWA,pdb,4,14.67,0.73,15.038,-10.732,-5.206,39.0
clean_7L1T,pdb,3,9.06,0.485,46.64,93.534,21.674,44.0
clean_5V6Y,pdb,49,31.16,0.937,165.381,-32.05,9.713,62.0
clean_8AU3,pdb,9,13.79,0.699,58.814,23.17,20.688,40.0
clean_3UOA,pdb,9,30.91,0.937,-16.705,6.025,-18.238,86.0
clean_8ZH8,pdb,22,32.29,0.942,141.373,133.888,162.9,96.0
clean_2WKM,pdb,2,14.08,0.71,19.224,9.579,6.448,47.0
clean_8T36,pdb,2,3.38,0.121,14.783,4.244,-34.542,36.0
clean_5SH3,pdb,13,41.72,0.966,25.055,-43.611,-14.062,60.0
clean_7VLA,pdb,18,46.68,0.975,101.831,86.961,96.861,113.0
clean_2P1U,pdb,5,46.2,0.974,1.506,19.397,30.806,45.0
clean_5NNE,pdb,1,14.33,0.719,46.925,14.172,19.237,45.0
clean_6CMM,pdb,18,8.3,0.442,-1.443,5.77,40.543,47.0
clean_6X48,pdb,8,3.67,0.139,-31.311,33.296,-6.242,21.0
clean_8I95,pdb,18,39.07,0.961,197.956,183.071,172.38,118.0
clean_6CDH,pdb,1,32.47,0.943,56.208,-15.422,9.73,57.0
clean_3BPS,pdb,6,1.77,0.033,18.439,-24.613,3.974,15.0
clean_3S79,pdb,5,46.99,0.975,85.285,49.559,43.852,84.0
clean_2WQM,pdb,3,3.89,0.153,10.619,31.994,22.848,21.0
clean_5I0N,pdb,6,8.77,0.469,-22.765,27.572,13.383,28.0
clean_7VIE,pdb,17,55.11,0.984,109.406,127.242,93.192,105.0
clean_7KVP,pdb,5,35.33,0.953,-16.502,-26.293,-8.985,60.0
clean_8OUU,pdb,8,10.47,0.563,-15.079,3.236,-36.941,45.0
clean_8WU8,pdb,17,10.49,0.564,158.497,-1.97,26.415,43.0
clean_3PP2,pdb,2,4.2,0.171,47.156,-1.469,4.608,28.0
clean_4BBM,pdb,17,18.31,0.82,1.276,-14.48,0.452,56.0
clean_4XEF,pdb,0,,,,,,
clean_2LP2,pdb,9,4.49,0.191,-8.168,-13.231,5.768,18.0
clean_2R4B,pdb,6,13.13,0.675,-13.997,16.811,-2.632,53.0
clean_4GA8,pdb,3,49.49,0.979,-34.388,10.376,-4.604,71.0
clean_5D7P,pdb,9,54.69,0.984,9.473,-8.229,-58.71,111.0
clean_8AHI,pdb,2,12.7,0.659,2.609,17.847,60.004,38.0
clean_6J8G,pdb,47,54.01,0.984,135.935,136.808,123.3,98.0
clean_6TDC,pdb,2,32.83,0.945,1.288,23.977,16.585,75.0
clean_4QYH,pdb,9,14.59,0.727,-11.583,-22.202,40.934,47.0
clean_1T5Z,pdb,4,21.49,0.87,0.037,64.461,4.26,31.0
clean_3IW6,pdb,7,20.98,0.864,-16.748,-3.488,3.826,56.0
clean_2JAK,pdb,3,2.52,0.07,-11.555,86.212,22.178,18.0
clean_4EMA,pdb,8,30.18,0.934,17.096,5.879,44.675,72.0
clean_1H8U,pdb,4,5.61,0.27,-5.194,17.887,44.985,36.0
clean_3HTU,pdb,1,2.8,0.086,49.993,-4.094,-4.728,22.0
clean_4EWE,pdb,2,26.84,0.917,16.065,14.008,9.027,65.0
clean_3ETO,pdb,15,2.83,0.088,18.28,-15.334,-9.212,27.0
clean_3DWB,pdb,13,25.55,0.907,84.867,34.209,39.713,94.0
clean_3KSE,pdb,18,26.55,0.915,-8.137,8.924,43.883,76.0
clean_7OEJ,pdb,3,6.11,0.303,-25.301,24.417,-25.456,20.0
clean_3FRG,pdb,3,43.93,0.971,49.556,44.55,62.98,66.0
clean_6NGH,pdb,10,78.16,0.993,114.929,247.747,355.362,162.0
clean_6FOA,pdb,11,39.85,0.963,2.131,28.608,62.258,114.0
clean_3SBE,pdb,1,11.23,0.601,-12.175,12.388,-13.105,49.0
clean_8I3J,pdb,1,9.08,0.486,51.952,22.036,60.343,37.0
clean_5WOS,pdb,1,1.04,0.006,-22.57,11.481,10.979,13.0
clean_8WGN,pdb,2,35.75,0.954,-13.556,-13.302,2.56,95.0
clean_4OHO,pdb,16,16.76,0.786,41.111,-8.668,15.947,81.0
pocket46_atm,pdb,0,,,,,,
clean_7QRZ,pdb,2,6.58,0.333,10.425,4.694,36.894,21.0
clean_3W4K,pdb,30,42.69,0.968,32.491,71.635,12.687,104.0
clean_2AHI,pdb,6,2.34,0.061,57.259,17.297,16.423,17.0
clean_3BHH,pdb,27,21.99,0.876,37.683,48.057,17.943,50.0
clean_7DRT,pdb,26,44.36,0.972,143.844,137.344,131.952,114.0
clean_8FUG,pdb,10,74.23,0.992,110.786,145.998,119.512,128.0
clean_5OQ7,pdb,6,8.2,0.436,6.649,-5.096,16.9,41.0
clean_3JQH,pdb,0,,,,,,
clean_2OMU,pdb,9,15.37,0.752,19.778,9.846,0.512,32.0
clean_3UDM,pdb,4,16.38,0.778,22.125,35.504,41.383,65.0
clean_4U17,pdb,1,3.84,0.149,11.143,-0.257,11.504,22.0
clean_4YNP,pdb,9,10.82,0.58,33.048,-12.191,20.12,69.0
clean_7NWM,pdb,10,19.25,0.836,37.635,-5.437,15.224,47.0
clean_4WY4,pdb,0,,,,,,
clean_6KN5,pdb,5,4.47,0.19,17.477,43.321,80.689,20.0
clean_7QK7,pdb,10,37.45,0.958,23.942,18.516,22.423,102.0
clean_2F3E,pdb,14,10.74,0.576,31.563,5.93,15.446,42.0
clean_6EL7,pdb,3,31.86,0.941,-34.793,-19.256,11.115,51.0
clean_6YG0,pdb,3,2.75,0.083,-4.998,-7.124,35.73,16.0
clean_4ZG9,pdb,32,24.61,0.9,39.046,50.084,-71.308,57.0
clean_7VD4,pdb,1,6.99,0.362,-8.83,5.15,-7.596,31.0
clean_3BER,pdb,3,7.59,0.401,23.158,11.074,3.947,33.0
clean_3E8R,pdb,6,15.5,0.754,51.374,34.55,39.778,52.0
clean_4JIH,pdb,3,47.34,0.976,-25.724,-25.635,-6.971,85.0
clean_1H52,pdb,1,3.13,0.106,18.269,5.505,7.299,16.0
clean_6WAU,pdb,5,27.04,0.918,38.783,-13.313,1.301,68.0
clean_5NKC,pdb,6,20.62,0.859,-89.906,-14.247,9.974,49.0
clean_3UZX,pdb,7,50.41,0.98,3.616,23.214,-31.095,76.0
clean_6XF1,pdb,13,11.35,0.607,208.321,25.587,-0.281,29.0
clean_5R4P,pdb,5,4.93,0.222,35.297,-26.901,-28.22,42.0
clean_6EMR,pdb,3,3.17,0.108,-29.802,12.471,-28.635,32.0
clean_1O4M,pdb,1,0.77,0.002,3.672,11.773,19.991,13.0
clean_2E5P,pdb,1,1.43,0.018,2.986,4.76,6.627,14.0
clean_2RI7,pdb,5,10.39,0.558,-27.766,46.205,27.491,35.0
clean_7YJC,pdb,8,13.13,0.675,-14.904,4.84,19.689,52.0
clean_3A7G,pdb,7,12.08,0.638,9.85,26.534,43.581,46.0
clean_5AAF,pdb,2,7.08,0.367,-5.741,29.843,-7.07,37.0
clean_3KCZ,pdb,13,42.25,0.968,29.356,-27.793,13.448,125.0
clean_4B3W,pdb,3,48.25,0.977,-31.531,-8.367,-24.526,82.0
clean_6EQ9,pdb,8,15.2,0.748,-44.51,32.89,-11.513,53.0
clean_6BGM,pdb,1,17.68,0.806,55.143,-13.596,8.994,26.0
clean_5SHP,pdb,13,42.03,0.967,92.778,-4.633,14.481,59.0
clean_6AVO,pdb,149,22.44,0.881,164.745,131.952,170.4,95.0
clean_2YRB,pdb,7,6.32,0.317,3.719,14.726,-2.822,28.0
clean_4EFG,pdb,2,43.14,0.969,-5.806,2.883,-13.816,57.0
clean_4LV9,pdb,11,78.84,0.993,8.027,-6.918,38.472,152.0
clean_4I8V,pdb,32,54.19,0.984,-18.112,40.412,-32.695,117.0
clean_4TO4,pdb,51,31.67,0.94,6.632,5.745,31.744,67.0
clean_8EIC,pdb,10,6.84,0.351,24.213,-11.071,75.556,42.0
clean_3CU8,pdb,5,14.86,0.737,20.035,-1.361,-11.222,63.0
clean_6C4K,pdb,18,14.65,0.73,-13.269,32.921,7.099,56.0
clean_2D9Y,pdb,2,1.58,0.025,11.655,-11.453,-2.365,14.0
clean_4QAE,pdb,24,8.12,0.432,114.155,44.277,-38.546,34.0
clean_8XPV,pdb,6,19.06,0.834,10.072,-20.075,9.291,47.0
clean_6HGA,pdb,5,2.96,0.096,41.852,75.702,43.702,19.0
clean_4ZSA,pdb,7,17.83,0.809,197.543,5.379,81.051,45.0
clean_7FB7,pdb,5,3.66,0.138,15.097,21.084,41.387,21.0
clean_7TN0,pdb,45,18.55,0.825,52.243,33.756,111.542,102.0
clean_7A8Q,pdb,18,39.29,0.962,-0.681,111.536,344.855,91.0
clean_4ECB,pdb,10,23.72,0.891,-7.216,-9.479,-32.443,56.0
clean_7NCK,pdb,14,16.91,0.791,140.581,116.776,97.044,46.0
clean_3SXG,pdb,3,35.76,0.954,14.565,16.552,-5.536,81.0
clean_7QPV,pdb,8,38.83,0.961,17.117,-11.091,-35.104,72.0
clean_8Q7K,pdb,3,1.52,0.022,28.838,1.737,8.42,20.0
clean_5PXQ,pdb,6,7.34,0.384,21.945,19.64,22.62,31.0
clean_6RHY,pdb,1,0.91,0.004,-4.009,1.976,-0.904,12.0
clean_9DDU,pdb,2,51.79,0.982,9.391,4.527,27.215,68.0
clean_5SEM,pdb,10,40.45,0.964,92.692,-4.376,14.201,64.0
clean_7XBB,pdb,8,51.38,0.981,4.638,1.045,-53.309,66.0
clean_4U45,pdb,9,13.39,0.684,-8.569,4.791,-35.779,59.0
clean_8DVS,pdb,6,9.59,0.515,107.879,120.33,91.454,37.0
clean_4ZG7,pdb,15,71.03,0.991,-8.747,-2.098,-37.459,158.0
clean_7K2R,pdb,13,11.52,0.614,5.842,27.669,35.014,46.0
clean_9CSB,pdb,0,,,,,,
clean_3HCS,pdb,2,1.16,0.009,32.268,43.374,5.159,14.0
clean_8VKZ,pdb,0,,,,,,
clean_5F6X,pdb,0,,,,,,
clean_1M6I,pdb,7,71.37,0.991,2.301,49.341,29.544,166.0
clean_1Q91,pdb,2,28.89,0.928,12.45,39.623,27.181,65.0
clean_1OWR,pdb,13,8.77,0.469,0.262,63.605,83.257,48.0
clean_8JIG,pdb,4,4.27,0.176,51.103,-3.615,-4.023,22.0
clean_7FTA,pdb,15,5.62,0.27,-1.318,7.78,-33.077,36.0
clean_1FE3,pdb,1,41.26,0.966,97.783,73.442,-40.815,55.0
clean_3ZHF,pdb,0,,,,,,
clean_6R4B,pdb,4,16.98,0.793,-11.461,25.26,-7.532,68.0
clean_5SGH,pdb,13,40.95,0.965,-36.498,43.845,-14.563,70.0
clean_4YJ4,pdb,3,3.5,0.128,-23.254,26.866,28.723,36.0
clean_5G4M,pdb,10,3.6,0.134,124.184,78.332,-18.315,33.0
clean_6DIH,pdb,17,33.0,0.945,-7.997,-17.61,36.7,60.0
clean_5SIW,pdb,10,42.37,0.968,19.26,-6.19,-13.399,89.0
clean_2YRP,pdb,1,1.92,0.039,7.383,25.299,4.55,6.0
clean_2P27,pdb,3,23.31,0.888,8.23,2.902,86.99,74.0
clean_4U32,pdb,3,9.6,0.516,17.756,15.088,132.801,23.0
clean_3QWZ,pdb,1,4.06,0.163,9.692,-71.578,-11.32,14.0
clean_7Z5X,pdb,2,8.65,0.462,37.248,-7.261,16.633,38.0
clean_6B33,pdb,7,42.36,0.968,-26.373,110.575,-0.639,84.0
clean_1GQ5,pdb,1,1.89,0.038,-9.017,26.961,-5.194,13.0
clean_2WQE,pdb,3,5.18,0.24,-22.906,13.892,-4.168,28.0
clean_5Q66,pdb,7,27.84,0.923,6.482,15.753,30.291,55.0
clean_2VSM,pdb,14,38.96,0.961,23.198,70.562,-25.487,76.0
clean_1ND6,pdb,28,27.68,0.922,70.689,62.669,20.395,88.0
clean_3VHV,pdb,6,38.82,0.961,-3.154,16.005,-5.447,41.0
clean_5RYX,pdb,5,13.76,0.698,6.274,-1.133,-18.544,58.0
clean_7B4F,pdb,3,2.27,0.057,1.255,-11.289,12.368,15.0
clean_5Q8O,pdb,7,29.88,0.933,6.741,15.786,30.222,59.0
clean_8SUV,pdb,9,27.9,0.923,-14.868,-1.006,-26.56,76.0
clean_4GG7,pdb,5,17.94,0.811,-1.105,-15.32,16.865,42.0
clean_6UFR,pdb,10,33.3,0.946,-16.948,-25.481,28.204,107.0
clean_1Z6V,pdb,1,4.53,0.194,6.647,0.903,3.562,33.0
clean_7BK3,pdb,3,9.01,0.482,6.047,-5.716,16.634,45.0
clean_3RL7,pdb,7,13.5,0.689,26.256,-14.658,-3.393,50.0
clean_4EKK,pdb,9,27.45,0.921,57.461,2.645,18.384,71.0
clean_5MPO,pdb,5,9.15,0.49,28.163,43.483,-4.87,42.0
clean_8ZGD,pdb,1,1.41,0.018,-0.782,25.65,-6.619,17.0
clean_8HE3,pdb,4,2.13,0.049,-0.654,-31.312,-11.903,16.0
clean_2QIC,pdb,1,1.94,0.04,6.055,36.442,9.94,20.0
clean_4I5K,pdb,9,7.17,0.373,1.715,6.277,24.573,28.0
clean_2WX3,pdb,0,,,,,,
clean_4IDO,pdb,13,55.2,0.984,-14.727,1.891,50.652,148.0
clean_5SKT,pdb,12,39.45,0.962,92.656,-3.773,14.035,59.0
clean_5EK2,pdb,14,68.36,0.99,27.942,31.515,-33.023,143.0
clean_8P3I,pdb,5,10.68,0.573,12.01,-10.681,-7.033,42.0
clean_2OUU,pdb,12,53.55,0.983,7.019,10.884,43.17,74.0
clean_6NG9,pdb,2,2.62,0.076,-3.764,-0.617,13.599,19.0
clean_3TKM,pdb,3,50.66,0.98,11.56,4.287,27.654,93.0
clean_4YLK,pdb,6,15.72,0.76,17.762,51.037,36.356,46.0
clean_2WF1,pdb,5,16.17,0.772,28.647,2.537,33.509,54.0
clean_9E8Q,pdb,0,,,,,,
clean_7R2G,pdb,16,8.25,0.439,4.34,-26.204,-13.531,25.0
clean_4EDU,pdb,1,5.3,0.249,25.566,-7.156,50.896,25.0
clean_4NRO,pdb,2,22.2,0.878,12.182,21.067,16.992,55.0
clean_1U5D,pdb,4,2.51,0.07,6.116,33.529,81.369,16.0
clean_5X72,pdb,1,54.23,0.984,-17.676,17.186,128.766,75.0
clean_7TAN,pdb,13,3.52,0.129,145.886,130.44,142.805,28.0
clean_5Q99,pdb,5,30.24,0.934,6.468,15.621,29.935,60.0
clean_1YWO,pdb,0,,,,,,
clean_2HW4,pdb,0,,,,,,
clean_4X5O,pdb,10,22.91,0.884,122.341,-32.444,258.313,81.0
clean_2PZE,pdb,4,66.38,0.99,1.608,3.431,62.704,172.0
clean_3F9N,pdb,4,4.49,0.191,13.583,-1.905,10.722,35.0
clean_3IA6,pdb,9,40.77,0.964,36.708,35.027,38.558,109.0
clean_5XJ4,pdb,3,1.87,0.037,23.329,18.451,77.352,25.0
clean_1ZY7,pdb,9,75.16,0.992,70.638,48.31,51.091,99.0
clean_5SJO,pdb,12,41.84,0.967,56.273,-9.29,15.173,69.0
clean_2Y0N,pdb,8,4.23,0.173,9.21,-0.98,34.698,34.0
clean_5EOM,pdb,77,12.55,0.655,122.785,8.523,5.759,49.0
clean_6H0U,pdb,13,33.91,0.948,-0.366,-28.414,-7.466,108.0
clean_7RMG,pdb,17,45.19,0.973,119.053,128.186,149.784,127.0
clean_3VI3,pdb,31,20.4,0.854,-35.283,-45.578,-56.25,68.0
clean_5Q82,pdb,7,30.16,0.934,6.638,15.769,29.532,60.0
clean_2HW9,pdb,6,3.79,0.147,17.537,35.37,53.818,33.0
clean_5Q59,pdb,3,23.74,0.892,6.328,15.701,29.596,60.0
clean_7WO0,pdb,17,36.65,0.956,102.377,147.781,116.748,99.0
clean_7AVQ,pdb,4,26.94,0.918,79.129,66.668,32.883,68.0
clean_5QCU,pdb,7,15.56,0.756,30.92,5.304,14.832,45.0
clean_8X7E,pdb,14,51.35,0.981,-30.653,-32.964,34.309,63.0
clean_6DDF,pdb,8,53.94,0.984,119.345,95.844,113.064,121.0
clean_6Q0M,pdb,1,3.94,0.156,-34.682,30.456,49.886,28.0
clean_8SVT,pdb,3,54.55,0.984,-31.004,12.184,-22.207,82.0
clean_3WWS,pdb,0,,,,,,
clean_3VHU,pdb,5,26.08,0.91,19.364,13.606,0.952,42.0
clean_4RIW,pdb,14,17.5,0.803,41.653,26.239,-47.607,60.0
clean_8XB9,pdb,6,5.59,0.268,-0.77,19.414,-5.035,32.0
clean_1NMQ,pdb,7,25.12,0.904,0.236,35.925,12.939,63.0
clean_8A66,pdb,7,11.77,0.625,21.355,14.745,3.412,52.0
clean_3BZU,pdb,22,33.0,0.945,7.517,-1.878,17.591,101.0
clean_4CLY,pdb,6,17.84,0.809,-15.825,-29.027,0.855,72.0
clean_7VXW,pdb,4,1.89,0.038,-7.686,12.89,-7.168,15.0
clean_2JCN,pdb,0,,,,,,
clean_6MI3,pdb,0,,,,,,
clean_6LOU,pdb,2,6.35,0.319,7.845,-10.4,21.851,24.0
clean_5TJ2,pdb,28,34.05,0.949,21.066,168.982,278.814,57.0
clean_4W5V,pdb,0,,,,,,
clean_4H3I,pdb,11,26.3,0.912,21.361,34.763,56.672,63.0
clean_6EJ7,pdb,12,40.58,0.964,1.749,28.871,61.423,75.0
clean_7FT1,pdb,11,5.16,0.238,-0.037,7.355,-32.117,34.0
clean_3SMM,pdb,3,8.22,0.438,19.963,-14.561,8.771,31.0
clean_5C29,pdb,7,38.97,0.961,7.317,10.34,42.62,63.0
clean_4MRZ,pdb,9,43.97,0.971,7.571,-31.744,-34.72,63.0
clean_5VTJ,pdb,0,,,,,,
clean_2OYC,pdb,3,17.34,0.801,8.124,1.966,89.222,56.0
clean_6GXK,pdb,3,62.59,0.988,-1.079,27.572,17.899,95.0
clean_7VRB,pdb,5,9.82,0.528,-32.864,-6.589,8.302,36.0
clean_3PUP,pdb,14,24.36,0.898,25.119,-12.215,-12.803,97.0
clean_8RE8,pdb,5,10.56,0.567,-9.302,-27.485,47.911,16.0
clean_2CN5,pdb,3,8.18,0.435,82.368,-46.293,20.165,51.0
clean_6M64,pdb,17,23.29,0.887,-22.833,-5.941,-24.366,63.0
clean_5Q73,pdb,7,27.94,0.923,6.359,15.722,29.91,55.0
clean_4KC1,pdb,3,32.67,0.944,10.85,15.282,5.232,88.0
clean_3DZK,pdb,12,11.99,0.634,19.22,6.586,-27.249,36.0
clean_5YI9,pdb,2,10.38,0.558,11.557,26.217,-28.334,54.0
clean_7WHH,pdb,18,12.99,0.67,-29.2,21.962,-3.715,56.0
clean_3SKF,pdb,11,11.13,0.597,77.742,61.216,84.315,55.0
clean_7WJ5,pdb,22,48.59,0.978,83.924,70.556,103.344,121.0
clean_1YHN,pdb,4,14.43,0.722,21.51,67.015,36.005,49.0
clean_5PYE,pdb,6,6.62,0.336,21.822,19.68,22.736,30.0
clean_6BIV,pdb,5,2.37,0.062,-51.82,-20.291,-7.515,19.0
clean_7JVV,pdb,14,59.71,0.987,-21.806,0.163,4.339,115.0
clean_1VKG,pdb,10,45.34,0.973,8.025,67.231,78.985,110.0
clean_8PPF,pdb,10,14.37,0.72,24.588,27.92,75.955,39.0
clean_9J8N,pdb,60,18.46,0.823,57.976,92.02,161.176,45.0
clean_5QHE,pdb,2,6.5,0.328,36.95,-44.252,75.3,28.0
clean_6NW3,pdb,19,12.55,0.654,-3.477,-17.861,32.694,43.0
clean_6HWO,pdb,21,49.52,0.979,49.954,-0.87,23.465,102.0
clean_4JMK,pdb,3,5.08,0.232,16.069,1.06,0.781,29.0
clean_1OWT,pdb,2,4.85,0.217,-3.328,-0.609,-5.212,24.0
clean_5OAB,pdb,5,7.31,0.382,-27.903,-0.208,-28.611,21.0
clean_5TWH,pdb,2,2.8,0.087,10.878,43.812,44.02,23.0
clean_9CZL,pdb,19,37.72,0.958,155.439,119.512,148.731,52.0
clean_3V4Y,pdb,16,15.36,0.752,10.435,18.582,39.748,49.0
clean_7ZHQ,pdb,5,6.86,0.352,70.261,39.168,0.496,33.0
clean_6GE3,pdb,5,45.55,0.973,0.817,1.239,22.723,48.0
clean_6MD9,pdb,16,7.18,0.373,20.826,6.577,28.939,41.0
clean_5Q4L,pdb,6,28.35,0.925,6.612,15.851,30.038,60.0
clean_8WKZ,pdb,12,20.66,0.86,157.216,-7.18,219.615,43.0
clean_3IFP,pdb,23,15.29,0.751,91.941,35.105,40.552,62.0
clean_5T8R,pdb,3,6.98,0.361,37.382,21.068,38.002,21.0
clean_3N57,pdb,40,40.53,0.964,22.287,-109.832,46.479,101.0
clean_8J75,pdb,6,48.27,0.977,113.288,108.348,99.38,101.0
clean_5QQN,pdb,2,9.53,0.512,2.88,14.064,27.686,38.0
clean_4LGE,pdb,0,,,,,,
clean_5LIK,pdb,1,46.29,0.974,11.998,33.073,-3.59,105.0
clean_6I64,pdb,3,20.42,0.855,48.282,-28.473,-98.286,35.0
clean_7OW1,pdb,7,3.32,0.117,6.937,-5.367,-20.048,24.0
clean_4CRV,pdb,5,3.92,0.154,6.427,6.582,29.28,25.0
clean_1YA3,pdb,13,30.53,0.935,58.886,10.54,-10.976,38.0
clean_6HTY,pdb,4,45.84,0.973,12.474,33.072,23.825,63.0
clean_2ZZ0,pdb,39,46.17,0.974,-16.111,-8.519,-17.901,103.0
clean_6RCG,pdb,6,15.33,0.751,-12.093,58.07,19.233,38.0
clean_1AX8,pdb,0,,,,,,
clean_6DGE,pdb,2,20.64,0.859,6.286,25.155,1.728,63.0
clean_2WMT,pdb,3,5.05,0.23,10.671,-2.055,8.532,33.0
clean_4BS4,pdb,8,49.5,0.979,-40.91,-19.095,14.349,114.0
clean_5MS4,pdb,23,3.7,0.141,9.175,42.537,-29.145,16.0
clean_4PP5,pdb,2,39.11,0.961,64.182,47.552,31.353,47.0
clean_6RML,pdb,10,8.99,0.482,23.112,-39.488,-15.357,25.0
clean_2XR6,pdb,3,3.76,0.144,21.261,1.544,-26.21,17.0
clean_2Q8T,pdb,5,6.7,0.34,-15.801,-30.532,10.103,37.0
clean_2NQC,pdb,0,,,,,,
clean_4FYQ,pdb,19,39.26,0.961,106.017,19.721,18.815,91.0
clean_7S47,pdb,1,15.63,0.758,-26.171,13.792,-13.875,57.0
clean_2ZWL,pdb,13,12.08,0.638,29.941,32.042,44.481,44.0
clean_8OXC,pdb,32,11.62,0.618,141.499,145.464,103.056,47.0
clean_2C10,pdb,62,39.83,0.963,107.033,90.43,-0.556,83.0
clean_2OI0,pdb,3,10.76,0.577,42.202,31.208,3.253,40.0
clean_3D8D,pdb,3,11.33,0.606,-3.908,67.757,18.824,48.0
clean_6NJI,pdb,9,54.43,0.984,-23.87,-13.741,98.044,84.0
clean_4RFW,pdb,2,34.04,0.948,64.433,47.331,31.43,46.0
clean_3H6N,pdb,1,1.29,0.013,22.764,16.048,18.078,14.0
clean_4ED5,pdb,2,9.69,0.521,-19.278,-1.843,-2.199,41.0
clean_6NT2,pdb,33,36.72,0.956,-9.095,30.867,-10.664,82.0
clean_6D68,pdb,1,2.17,0.051,28.162,62.807,455.464,17.0
clean_6M5Y,pdb,5,4.63,0.201,0.762,9.692,22.268,22.0
clean_4S0H,pdb,11,7.12,0.37,-1.627,15.323,-7.621,39.0
clean_6RKK,pdb,6,8.4,0.448,18.767,13.831,11.316,24.0
clean_5I7U,pdb,33,18.65,0.827,-3.277,63.664,37.562,39.0
clean_7A6Y,pdb,13,12.08,0.638,25.315,18.625,-2.762,58.0
clean_5YGS,pdb,35,31.77,0.94,10.101,4.248,47.304,76.0
clean_7SSB,pdb,3,11.52,0.614,-11.736,9.781,9.954,30.0
clean_4FSZ,pdb,3,7.51,0.395,14.252,-4.846,11.815,34.0
clean_3S3I,pdb,7,9.92,0.533,2.956,30.133,30.34,46.0
clean_6GEG,pdb,4,43.8,0.971,1.039,1.012,23.009,39.0
clean_6ATD,pdb,13,5.33,0.252,15.935,14.501,-41.292,31.0
clean_4LR2,pdb,3,23.99,0.894,-31.743,13.409,18.806,58.0
clean_6CZ2,pdb,2,9.54,0.513,12.038,-18.617,4.085,42.0
clean_1NRV,pdb,2,4.13,0.167,12.513,-8.123,21.354,20.0
clean_5EMJ,pdb,11,31.69,0.94,21.116,-44.301,-8.044,93.0
clean_5Q6N,pdb,5,26.85,0.917,6.683,15.722,29.863,57.0
clean_9DN3,pdb,0,,,,,,
clean_8HTA,pdb,3,32.83,0.945,-0.35,2.318,-2.915,58.0
clean_4IUF,pdb,0,,,,,,
clean_3O8T,pdb,5,8.4,0.448,-20.113,0.739,14.597,37.0
clean_3FMK,pdb,9,14.28,0.717,20.015,11.472,30.564,47.0
clean_3SBD,pdb,2,12.23,0.643,8.399,72.42,11.06,47.0
clean_2Q3G,pdb,4,15.12,0.745,11.365,27.274,5.387,47.0
clean_5C14,pdb,2,1.49,0.021,1.77,28.027,-0.077,13.0
clean_2DJ4,pdb,1,1.88,0.037,6.277,13.084,-4.757,21.0
clean_6UHE,pdb,12,12.81,0.663,20.567,25.328,30.326,58.0
clean_2XP2,pdb,4,6.03,0.297,31.135,43.645,8.531,27.0
clean_8QEO,pdb,46,34.5,0.95,262.776,293.412,303.922,71.0
clean_4A6L,pdb,16,11.78,0.625,11.218,33.389,-1.345,56.0
clean_3VID,pdb,3,6.76,0.345,-1.814,15.347,-31.052,34.0
clean_6ADM,pdb,10,6.77,0.345,365.429,437.928,272.576,33.0
clean_5DG4,pdb,9,34.68,0.951,-10.247,17.279,25.483,65.0
clean_6C1A,pdb,1,3.0,0.098,-35.213,13.14,-14.027,32.0
clean_5Q3V,pdb,5,27.69,0.922,6.344,15.647,29.893,59.0
clean_4APD,pdb,0,,,,,,
clean_4AW1,pdb,3,20.47,0.856,-17.609,22.928,-7.045,68.0
clean_4EWH,pdb,7,5.0,0.227,40.556,29.424,-13.427,33.0
clean_5SJV,pdb,12,40.55,0.964,25.34,-43.519,-14.276,70.0
clean_6PLH,pdb,6,7.56,0.398,-2.081,-20.433,-5.213,28.0
clean_8SM5,pdb,20,15.33,0.751,44.196,-1.806,-31.937,39.0
clean_2YQ8,pdb,7,4.22,0.172,42.37,-24.959,14.323,26.0
clean_5O6C,pdb,7,3.44,0.124,31.364,11.194,13.678,18.0
clean_5E6D,pdb,0,,,,,,
clean_2E73,pdb,1,1.55,0.023,4.208,7.662,-5.407,15.0
clean_4WY6,pdb,6,19.05,0.834,17.791,-38.578,8.604,56.0
clean_1TB7,pdb,9,72.91,0.992,24.822,-0.962,28.74,62.0
clean_4N7E,pdb,10,4.45,0.189,-22.139,21.753,40.569,25.0
clean_7NDY,pdb,4,2.24,0.055,16.933,-11.26,-18.029,13.0
clean_6H7Z,pdb,7,49.18,0.978,20.808,45.689,42.16,64.0
clean_8AUZ,pdb,14,14.47,0.724,26.253,0.083,14.574,50.0
clean_5YF1,pdb,12,28.44,0.925,-55.494,23.354,1.901,77.0
